"country","value","category"
"Iceland","5","goals_against"
"Iceland","36","shots"
"Iceland","12","shots_on_target"
"Iceland","1","penalties"
"Iceland","1","offsides"
"Iceland","17","corners"
"Iceland","35","fouls_committed"
"Iceland","27","fouls_suffered"
"Iceland","3","yellow_cards"
"Iceland","0","red_cards"
"Iran","3","matches_played"
"Iran","2","goals_scored"
"Iran","2","goals_against"
"Iran","21","shots"
"Iran","4","shots_on_target"
"Iran","1","penalties"
"Iran","3","offsides"
"Iran","5","corners"
"Iran","44","fouls_committed"
"Iran","45","fouls_suffered"
"Iran","7","yellow_cards"
"Iran","0","red_cards"
"Japan","4","matches_played"
"Japan","6","goals_scored"
"Japan","7","goals_against"
"Japan","42","shots"
"Japan","16","shots_on_target"
"Japan","1","penalties"
"Japan","5","offsides"
"Japan","19","corners"
"Japan","37","fouls_committed"
"Japan","48","fouls_suffered"
"Japan","5","yellow_cards"
"Japan","0","red_cards"
"Mexico","4","matches_played"
"Mexico","3","goals_scored"
"Mexico","6","goals_against"
"Mexico","57","shots"
"Mexico","13","shots_on_target"
"Mexico","1","penalties"
"Mexico","6","offsides"
"Mexico","20","corners"
"Mexico","54","fouls_committed"
"Mexico","47","fouls_suffered"
"Mexico","9","yellow_cards"
"Mexico","0","red_cards"
"Morocco","3","matches_played"
"Morocco","2","goals_scored"
"Morocco","4","goals_against"
"Morocco","35","shots"
"Morocco","10","shots_on_target"
"Morocco","0","penalties"
"Morocco","2","offsides"
"Morocco","13","corners"
"Morocco","62","fouls_committed"
"Morocco","36","fouls_suffered"
"Morocco","8","yellow_cards"
"Morocco","0","red_cards"
"Nigeria","3","matches_played"
"Nigeria","3","goals_scored"
"Nigeria","4","goals_against"
"Nigeria","39","shots"
"Nigeria","9","shots_on_target"
"Nigeria","1","penalties"
"Nigeria","2","offsides"
"Nigeria","14","corners"
"Nigeria","45","fouls_committed"
"Nigeria","44","fouls_suffered"
"Nigeria","4","yellow_cards"
"Nigeria","0","red_cards"
"Panama","3","matches_played"
"Panama","2","goals_scored"
"Panama","11","goals_against"
"Panama","23","shots"
"Panama","8","shots_on_target"
"Panama","0","penalties"
"Panama","7","offsides"
"Panama","5","corners"
"Panama","49","fouls_committed"
"Panama","48","fouls_suffered"
"Panama","11","yellow_cards"
"Panama","0","red_cards"
"Peru","3","matches_played"
"Peru","2","goals_scored"
"Peru","2","goals_against"
"Peru","32","shots"
"Peru","11","shots_on_target"
"Peru","0","penalties"
"Peru","7","offsides"
"Peru","9","corners"
"Peru","37","fouls_committed"
"Peru","38","fouls_suffered"
"Peru","5","yellow_cards"
"Peru","0","red_cards"
"Poland","3","matches_played"
"Poland","2","goals_scored"
"Poland","5","goals_against"
"Poland","30","shots"
"Poland","8","shots_on_target"
"Poland","0","penalties"
"Poland","4","offsides"
"Poland","17","corners"
"Poland","31","fouls_committed"
"Poland","33","fouls_suffered"
"Poland","3","yellow_cards"
"Poland","0","red_cards"
"Portugal","4","matches_played"
"Portugal","6","goals_scored"
"Portugal","6","goals_against"
"Portugal","52","shots"
"Portugal","14","shots_on_target"
"Portugal","1","penalties"
"Portugal","4","offsides"
"Portugal","24","corners"
"Portugal","55","fouls_committed"
"Portugal","59","fouls_suffered"
"Portugal","7","yellow_cards"
"Portugal","0","red_cards"
"Russia","5","matches_played"
"Russia","11","goals_scored"
"Russia","7","goals_against"
"Russia","46","shots"
"Russia","19","shots_on_target"
"Russia","1","penalties"
"Russia","7","offsides"
"Russia","26","corners"
"Russia","95","fouls_committed"
"Russia","56","fouls_suffered"
"Russia","6","yellow_cards"
"Russia","1","red_cards"
"Saudi Arabia","3","matches_played"
"Saudi Arabia","2","goals_scored"
"Saudi Arabia","7","goals_against"
"Saudi Arabia","36","shots"
"Saudi Arabia","10","shots_on_target"
"Saudi Arabia","1","penalties"
"Saudi Arabia","4","offsides"
"Saudi Arabia","13","corners"
"Saudi Arabia","30","fouls_committed"
"Saudi Arabia","45","fouls_suffered"
"Saudi Arabia","1","yellow_cards"
"Saudi Arabia","0","red_cards"
"Senegal","3","matches_played"
"Senegal","4","goals_scored"
"Senegal","4","goals_against"
"Senegal","30","shots"
"Senegal","12","shots_on_target"
"Senegal","0","penalties"
"Senegal","10","offsides"
"Senegal","9","corners"
"Senegal","44","fouls_committed"
"Senegal","30","fouls_suffered"
"Senegal","6","yellow_cards"
"Senegal","0","red_cards"
"Serbia","3","matches_played"
"Serbia","2","goals_scored"
"Serbia","4","goals_against"
"Serbia","32","shots"
"Serbia","7","shots_on_target"
"Serbia","0","penalties"
"Serbia","5","offsides"
"Serbia","12","corners"
"Serbia","45","fouls_committed"
"Serbia","37","fouls_suffered"
"Serbia","9","yellow_cards"
"Serbia","0","red_cards"
"South Korea","3","matches_played"
"South Korea","3","goals_scored"
"South Korea","3","goals_against"
"South Korea","33","shots"
"South Korea","11","shots_on_target"
"South Korea","0","penalties"
"South Korea","0","offsides"
"South Korea","15","corners"
"South Korea","63","fouls_committed"
"South Korea","33","fouls_suffered"
"South Korea","10","yellow_cards"
"South Korea","0","red_cards"
"Spain","4","matches_played"
"Spain","7","goals_scored"
"Spain","6","goals_against"
"Spain","70","shots"
"Spain","21","shots_on_target"
"Spain","0","penalties"
"Spain","6","offsides"
"Spain","24","corners"
"Spain","34","fouls_committed"
"Spain","59","fouls_suffered"
"Spain","2","yellow_cards"
"Spain","0","red_cards"
"Sweden","5","matches_played"
